cnpj_basico;cnpj_ordem;cnpj_dv;identificador_matriz_filial;nome_fantasia;situacao_cadastral;data_situacao_cadastral;motivo_situacao_cadastral;nome_cidade_exterior;pais;data_inicio_atividade;cnae_fiscal_principal;cnae_fiscal_secundaria;tipo_logradouro;logradouro;numero;complemento;bairro;cep;uf;municipio;ddd_1;telefone_1;ddd_2;telefone_2;ddd_fax;fax;correio_eletronico;situacao_especial;data_situacao_especial;cnpj_completo;situacao_cadastral_descricao;atividade_afl;razao_social;natureza_juridica;qualificacao_responsavel;capital_social;porte;ente_federativo_responsavel;porte_descricao
58142886;0001;98;1;PANIFICADORA CAMOES;02;20050604;00;;;19660716;4721102;4712100;RUA;XAVIER PINHEIRO;253;;ENCRUZILHADA;11015090;SP;7071;13;30237000;;;;;FISCALIZACAO@ESCUDOREAL.COM.BR;;;58142886000198;Ativa;Padaria e confeitaria;;;;;;;
07398182;0001;40;1;ACP REFEICOES;02;0;00;;;20050505;5611203;;RUA;SAO BENTO;377;      ESPACO B            BOX   2;CENTRO;01011100;SP;7107;11;24787835;;;;;martins@mfempresarial.com.br;;;07398182000140;Ativa;Lanchonetes e casas de chá;;;;;;;
07398656;0001;53;1;;02;0;00;;;20050321;5611203;;RUA;CAPITAO GARCIA D AVILA PIRES;20;QUADRA,C;ITAPUA;41610657;BA;3849;71;86489063;;;;;milk.lim@hotmail.com;;;07398656000153;Ativa;Lanchonetes e casas de chá;;;;;;;
06195632;0001;34;1;BAR DO INACIO;02;20051103;00;;;20040401;5611204;4530703,4530704,4530705,4712100,4761003,5611201,5611203,5612100,6619302;AVENIDA;JULIO DE MAILHOS;1434;;CENTRO;99190000;RS;5939;54;36163304;;;;;;;;06195632000134;Ativa;Bares sem entretenimento;;;;;;;
00503373;0001;85;1;RESTAURANTE DI PAOLI;02;20020706;00;;;19950323;5611201;;RUA;RAMIRO BARCELOS;1087;;INDEPENDENCIA;90035006;RS;8801;;;;;;;;;;00503373000185;Ativa;Restaurantes;BAR E RESTAURANTE LACERDA LTDA;2062;49;0,00;01;;Microempresa (ME)
04940404;0001;16;1;;02;20051103;00;;;20020307;5611203;;PRACA;DR ALCIDES MARQUES;75;;CENTRO;96300000;RS;8721;53;84265017;;;;;BETOBIGKREPS2@GMAIL.COM;;;04940404000116;Ativa;Lanchonetes e casas de chá;;;;;;;
92484450;0001;15;1;BAR E LANCHERIA SECCO;02;20050611;00;;;19881122;5611203;;RUA;ERNESTO RIGONI;212;;BELA VISTA;99704054;RS;8637;54;37120113;;;;;ABSOLUTA_CONTABILIDADE@YAHOO.COM.BR;;;92484450000115;Ativa;Lanchonetes e casas de chá;;;;;;;
92484641;0001;87;1;UFF BIER;02;20051103;00;;;19881122;5611204;1113502,4789001,5223100,5611201,5611203,5611205,7729202,7740300,8230002,9321200;RUA;OCIDENTINO FONTOURA;111;;JARDELINO RAMOS;95050330;RS;8599;54;99712454;;;;;ALTOADIGEBR@GMAIL.COM;;;92484641000187;Ativa;Bares sem entretenimento;;;;;;;
04941661;0001;72;1;PASTELARIA HB;02;20051103;00;;;20020311;5611203;;AVENIDA;JUSCELINO KUBITSCHECK;801;;CENTRO;85851210;PR;7563;0045;30253878;;;;;;;;04941661000172;Ativa;Lanchonetes e casas de chá;;;;;;;
03302462;0001;51;1;CAVE E A RADIANTE;02;20040828;00;;;19990716;4721102;5611204,5611203;RUA;SETE DE SETEMBRO;00137;;CENTRO;20050006;RJ;6001;21;22242507;;;21;25940052;CONTATO@CONFEITARIACAVE.COM.BR;;;03302462000151;Ativa;Padaria e confeitaria;CONFEITARIA SAN FILIPE LTDA;2062;49;500000,00;03;;Empresa de Pequeno Porte (EPP)
04943384;0001;37;1;BAR DO PASSARINHO;02;20051103;00;;;20020301;5611203;;RUA;GERAL PRAIA DE CIMA;S/N;;PINHEIRA;88130040;SC;8233;048;2423367;;;;;;;;04943384000137;Ativa;Lanchonetes e casas de chá;;;;;;;
92512169;0001;49;1;;02;20010225;00;;;19890130;5611203;6810202;RUA;MAJOR BENTO ALVES;1345;;SETE DE SETEMBRO;93800010;RS;8899;51;35991478;51;35991478;;;rh@central.cnt.br;;;92512169000149;Ativa;Lanchonetes e casas de chá;;;;;;;
03303437;0001;92;1;;02;20051103;00;;;19990723;5611201;;AVENIDA;ANSELMO CUPINI;31;;PARQUE JANDAIA;06333270;SP;6313;11;41862595;;;;;;;;03303437000192;Ativa;Restaurantes;ILDO BERGAMO MENEGUETTI CARAPICUIBA;2135;50;0,00;01;;Microempresa (ME)
00004013;0001;39;1;;02;20051103;00;;;19940513;5611204;5611201,5611203,5611205;RUA;TAGUA;27;;LIBERDADE;01508010;SP;7107;;;;;;;DU.2004@UOL.COM.BR;;;00004013000139;Ativa;Bares sem entretenimento;A.L.U. BAR E LANCHES LTDA;2062;49;100000,00;01;;Microempresa (ME)
